rater_id	dataset	input_file	rating	artifacts	time_sec	confidence	comments
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-excl029_task-qct_dir-PA_bold	1.45		7.485	3.5	
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot002_task-qct_bold	3.1	ghost-aliasing, inu, uncategorized	150.594	2.8	aliasing ghost visible on std map and bg of echo1, weird square in saggital std in echo 1, frontal and occipital lobe brighter in echo1 (INU), SD in prefrontal cortex echo 3 and 4
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot004_task-qct_bold	3.25	ghost-aliasing, inu, uncategorized	180.151	2.2	SD, weird square
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot011_task-qct_dir-AP_bold	2.75	ghost-aliasing, uncategorized	220.848	2.1	weird square, SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot013_task-qct_dir-AP_bold	3.1	ghost-aliasing, inu, uncategorized	179.286	2.2	weird square (WS), SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot012_task-qct_dir-AP_bold	3.1	ghost-aliasing, inu, uncategorized	28.252	2.25	weird square, SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot014_task-qct_dir-AP_bold	2.45	ghost-aliasing	225.422	1.7	WS, SD, aliasing ghost visible in avg BOLD in echo 1
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot015_task-qct_dir-LR_bold	2	head-motion, ghost-aliasing	245.009	2.9	SD, deflection in carpet plot because of one motion spike, aliasing ghost visible in bg in echo2-4
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot016_task-qct_dir-RL_bold	2.2	ghost-aliasing, uncategorized	288.834	2.7	WS, SD, aliasing ghost visible in bg fo echo 1
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot019_task-qct_dir-RL_bold	2.45	ghost-aliasing, uncategorized	208.874	2.8	WS, SD, aliasing ghost visible in bg of avg BOLD in echo 1-2
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot020_task-qct_dir-RL_bold	2.3	ghost-aliasing, uncategorized	168.956	2.2	WS, SD, aliasing ghost visible in bg of avg BOLD in echo1-3
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot021_task-qct_dir-AP_bold	2.8	ghost-aliasing, uncategorized	151.742	2.8	WS, SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-001_task-qct_dir-LR_bold	2.9	ghost-aliasing, uncategorized	499.438	2.8	weird square (WS) on echo 1,2, aliasing ghost on echo 1,2, high std next to the right ear in echo 1, SD , head is not straight, brain distortion on the right
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-003_task-qct_dir-LR_bold	3.45	ghost-aliasing, uncategorized	186.697	3.3	WS, SD, better resolution than previous scans
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-004_task-qct_dir-RL_bold	3.25	head-motion, ghost-aliasing, inu, uncategorized	243.102	3.2	SD, WS, head is titled
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-005_task-qct_dir-PA_bold	3.2	ghost-aliasing	284.895	3.2	WS very light (might be an effect of the visualisation (last slice very bright), SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-006_task-qct_dir-PA_bold	3.25	ghost-aliasing, uncategorized	174.783	3.25	WS light, SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-007_task-qct_dir-LR_bold	3.2	ghost-aliasing, uncategorized	218.173	3.05	WS, SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-008_task-qct_dir-RL_bold	2.85	ghost-aliasing, uncategorized	234.477	3.35	SD, WS, head is tilted, aliasing ghost is visible in bg of echo 1-3  avg BOLD, hyperintensities on the side of the skull
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-010_task-qct_dir-RL_bold	2.9	ghost-aliasing, uncategorized	208.981	3.3	WS, SD, aliasing ghost visible in bg of avg BOLD echo 1
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-011_task-qct_dir-AP_bold	3.65	ghost-aliasing	177.946	3.55	WS light, aliasing ghost is light, SD, 
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-013_task-qct_dir-PA_bold	3.35	ghost-aliasing, uncategorized	159.788	3.3	WS light (maybe fault of the visualisation), SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-015_task-qct_dir-AP_bold	3.25	ghost-aliasing, uncategorized	144.791	3.05	WS very light, SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-016_task-qct_dir-RL_bold	2.85	ghost-aliasing, uncategorized	186.708	3.4	WS, SD, aliasing ghost visible in bg of avg BOLD echo 1-2
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-017_task-qct_dir-PA_bold	3.1	ghost-aliasing, uncategorized	201.146	2.9	WS very light, SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-019_task-qct_dir-PA_bold	2.55	wrap-around, ghost-aliasing, uncategorized	333.491	3.35	WS, SD, wrap-around of the eyes induce spurious high std in skull close to occipital lobe
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-020_task-qct_dir-RL_bold	2.8	ghost-aliasing, uncategorized	250.534	3.7	WS, almost vertical strike in sagittal std echo 3-4, aliasing ghost visible in bg of avg BOLD echo 1-3
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-021_task-qct_dir-RL_bold	2.85	ghost-aliasing, uncategorized	323.835	2.9	WS, SD, aliasing ghost is visible in bg of avg BOLD echo 1-3
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-022_task-qct_dir-AP_bold	3.25	ghost-aliasing, uncategorized	162.719	3	WS very light, SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-023_task-qct_dir-AP_bold	3.2	ghost-aliasing, uncategorized	179.997	3.1	WS light, SD
